Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,41.750000,42.000000,41.000000,41.250000,39.222187,80602500
2021-03-16,41.250000,41.250000,40.500000,40.750000,38.746765,63962400
2021-03-17,40.500000,40.750000,40.000000,40.500000,38.509056,94213200
2021-03-18,40.750000,41.250000,40.500000,40.500000,38.509056,48932200
2021-03-19,40.000000,40.500000,39.750000,40.500000,38.509056,80270400
2021-03-22,40.500000,40.750000,40.000000,40.500000,38.509056,34058900
2021-03-23,40.250000,40.500000,40.000000,40.250000,38.271347,35990800
2021-03-24,40.000000,40.250000,39.750000,40.250000,38.271347,45431600
2021-03-25,40.250000,40.500000,40.000000,40.250000,38.271347,41435200
2021-03-26,40.250000,40.500000,40.000000,40.250000,38.271347,23495900
2021-03-29,40.500000,41.000000,40.250000,40.750000,38.746765,49691200
2021-03-30,41.000000,41.250000,40.500000,40.750000,38.746765,45195300
2021-03-31,40.500000,41.250000,40.500000,41.000000,38.984478,57139700
2021-04-01,41.000000,41.250000,40.750000,40.750000,38.746765,52230600
2021-04-02,41.250000,41.250000,40.500000,40.500000,38.509056,40479900
2021-04-05,40.500000,40.750000,40.000000,40.000000,38.033634,28921000
2021-04-07,39.750000,40.000000,39.250000,39.500000,37.558216,83189600
2021-04-08,39.250000,39.500000,39.000000,39.000000,37.082790,37568700
2021-04-09,39.000000,39.750000,39.000000,39.250000,37.320507,51489000
2021-04-12,39.250000,39.500000,38.750000,39.000000,37.082790,37609500
2021-04-16,39.500000,40.000000,39.250000,39.750000,37.795925,60260500
2021-04-19,39.750000,40.000000,39.500000,39.750000,37.795925,30128300
2021-04-20,39.750000,40.250000,39.500000,39.750000,37.795925,34410000
2021-04-21,39.500000,39.500000,39.000000,39.250000,37.320507,40084200
2021-04-22,39.250000,39.500000,39.000000,39.000000,37.082790,36460500
2021-04-23,39.000000,39.000000,38.500000,38.750000,36.845081,33893600
2021-04-26,38.750000,39.000000,38.500000,38.750000,36.845081,34829000
2021-04-27,38.750000,39.000000,38.500000,39.000000,37.082790,26567400
2021-04-28,39.000000,39.500000,38.750000,39.250000,37.320507,35232600
2021-04-29,39.750000,40.750000,39.500000,40.500000,38.509056,77856600
2021-04-30,40.500000,40.750000,40.000000,40.000000,38.033634,53259900
2021-05-05,40.750000,41.000000,39.250000,39.500000,37.558216,97820000
2021-05-06,39.750000,40.250000,39.250000,39.750000,37.795925,51747300
2021-05-07,40.000000,40.500000,39.750000,40.500000,38.509056,43201900
2021-05-10,40.750000,41.000000,40.000000,40.500000,38.509056,39373600
2021-05-11,40.000000,40.500000,39.750000,40.250000,38.271347,45648500
2021-05-12,40.000000,40.250000,39.500000,39.750000,37.795925,57783300
2021-05-13,39.500000,40.000000,39.250000,40.000000,38.033634,76074000
2021-05-14,40.250000,40.500000,39.500000,40.250000,38.271347,75052100
2021-05-17,40.250000,40.500000,39.750000,39.750000,37.795925,57341500
2021-05-18,40.000000,40.500000,39.750000,40.000000,38.033634,61374500
2021-05-19,39.500000,39.750000,39.250000,39.750000,37.795925,53432200
2021-05-20,39.750000,39.750000,38.750000,39.000000,37.082790,76811700
2021-05-21,38.750000,39.000000,38.000000,38.500000,36.607372,108867200
2021-05-24,38.500000,39.000000,38.000000,38.250000,36.369663,53404300
2021-05-25,38.750000,39.000000,38.500000,38.750000,36.845081,47606200
2021-05-27,39.000000,39.250000,38.500000,38.750000,36.845081,201215000
2021-05-28,39.250000,39.500000,39.000000,39.250000,37.320507,47154300
2021-05-31,39.250000,39.500000,39.000000,39.500000,37.558216,32629600
2021-06-01,40.000000,41.500000,40.000000,41.500000,39.459896,139641800
2021-06-02,41.750000,42.000000,41.250000,41.500000,39.459896,90445900
2021-06-04,41.250000,41.750000,41.000000,41.250000,39.222187,76905100
2021-06-07,41.500000,41.750000,41.000000,41.250000,39.222187,65914800
2021-06-08,41.250000,41.500000,40.500000,40.500000,38.509056,49609300
2021-06-09,40.750000,41.250000,40.750000,40.750000,38.746765,36053500
2021-06-10,40.750000,41.000000,40.500000,40.750000,38.746765,28605300
2021-06-11,41.000000,41.500000,40.750000,41.500000,39.459896,38833600
2021-06-14,41.750000,41.750000,41.250000,41.500000,39.459896,26194000
2021-06-15,41.250000,41.500000,40.750000,40.750000,38.746765,55556800
2021-06-16,41.000000,42.000000,40.750000,41.250000,39.222187,117516500
2021-06-17,41.250000,41.750000,41.000000,41.000000,38.984478,36768900
2021-06-18,41.000000,41.250000,40.000000,40.000000,38.033634,122846500
2021-06-21,39.750000,40.000000,39.500000,39.750000,37.795925,71785600
